,NomeParlamentar,Partido,TipoDespesa,txtDescricaoEspecificacao,ValorLiquido,Trecho,datEmissao
29077,Geraldo Resende,PSDB,TELEFONIA,,"1,4",,24-01-2019
29078,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"77,42",,14-01-2019
29079,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"249,98",,11-01-2019
29080,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"2150,0",,07-02-2019
29081,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"100,0",,06-01-2019
29082,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"231,53",,24-01-2019
29083,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"223,02",,13-01-2019
29084,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"100,02",,22-01-2019
29085,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"200,01",,07-01-2019
29086,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"250,01",,29-01-2019
29087,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"230,42",,30-01-2019
29088,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"70,0",,18-01-2019
29089,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"50,0",,17-01-2019
29090,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"178,3",,28-01-2019
29091,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"215,42",,03-02-2019
29092,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"70,0",,28-01-2019
29093,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"100,0",,31-01-2019
29094,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"70,0",,24-01-2019
29095,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"50,0",,15-01-2019
29096,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"100,0",,12-01-2019
29097,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"100,0",,22-01-2019
29098,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"50,01",,07-01-2019
29099,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"150,0",,09-01-2019
29100,Vander Loubet,PT,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,"219,81",,21-01-2019
29101,Vander Loubet,PT,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,"15750,0",,07-01-2019
29102,Vander Loubet,PT,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,"3000,0",,22-01-2019
29103,Vander Loubet,PT,TELEFONIA,,"210,9",,26-02-2019
29104,Vander Loubet,PT,TELEFONIA,,"4,74",,26-03-2019
29105,Vander Loubet,PT,TELEFONIA,,"153,33",,26-03-2019
29106,Vander Loubet,PT,SERVIÇOS POSTAIS,,"3,9",,17-01-2019
29107,Vander Loubet,PT,SERVIÇOS POSTAIS,,"3,9",,18-01-2019
29108,Vander Loubet,PT,SERVIÇOS POSTAIS,,"48,8",,31-01-2019
29109,Vander Loubet,PT,SERVIÇOS POSTAIS,,"39,51",,18-01-2019
29110,Vander Loubet,PT,PASSAGEM AÉREA - RPA,,"339,57",CGR/BSB,09-01-2019
29111,Vander Loubet,PT,PASSAGEM AÉREA - RPA,,"578,49",BSB/CGR,14-01-2019
29112,Vander Loubet,PT,PASSAGEM AÉREA - RPA,,"663,57",CGR/BSB,25-01-2019
29113,Vander Loubet,PT,PASSAGEM AÉREA - RPA,,"39,0",CGR/BSB,09-01-2019
29114,Vander Loubet,PT,PASSAGEM AÉREA - RPA,,"19,0",CGR/BSB,25-01-2019
29115,Vander Loubet,PT,PASSAGEM AÉREA - RPA,,"909,57",CGR/BSB,14-01-2019
29116,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"72,56",,12-04-2019
29117,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"94,5",,14-09-2019
29118,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"45,0",,15-03-2019
29119,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"69,75",,15-08-2019
29120,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"94,5",,11-11-2019
29121,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"69,75",,12-07-2019
29122,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"136,01",,12-02-2019
29123,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"105,04",,16-10-2019
29124,Vander Loubet,PT,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,"86,25",,14-06-2019
