,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
0,MANDETTA,DEM,01/02/19,"0,6",TELEFONIA
1,Tereza Cristina,DEM,01/02/19,"49,489999999999995",TELEFONIA
2,Tereza Cristina,DEM,01/05/21,"1,73",TELEFONIA
3,CARLA STEPHANINI,MDB,01/01/19,"2734,81",COMBUSTÍVEIS E LUBRIFICANTES.
4,CARLA STEPHANINI,MDB,01/01/19,"8000,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
5,CARLA STEPHANINI,MDB,01/01/19,"3915,4900000000002",PASSAGEM AÉREA - RPA
6,CARLA STEPHANINI,MDB,01/03/19,"1046,07",PASSAGEM AÉREA - REEMBOLSO
7,CARLA STEPHANINI,MDB,01/04/19,"784,49",PASSAGEM AÉREA - REEMBOLSO
8,CARLA STEPHANINI,MDB,01/04/19,"94,11",TELEFONIA
9,CARLA STEPHANINI,MDB,01/07/19,"263,92",COMBUSTÍVEIS E LUBRIFICANTES.
10,CARLA STEPHANINI,MDB,01/08/19,"3074,16",PASSAGEM AÉREA - REEMBOLSO
11,CARLA STEPHANINI,MDB,01/10/19,"243,46",COMBUSTÍVEIS E LUBRIFICANTES.
12,CARLA STEPHANINI,MDB,01/10/19,"3348,12",PASSAGEM AÉREA - RPA
13,Dagoberto Nogueira,PDT,01/01/19,"1808,9499999999998",COMBUSTÍVEIS E LUBRIFICANTES.
14,Dagoberto Nogueira,PDT,01/01/19,"7000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
15,Dagoberto Nogueira,PDT,01/01/19,"5450,570000000001",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
16,Dagoberto Nogueira,PDT,01/01/19,"8660,14",PASSAGEM AÉREA - RPA
17,Dagoberto Nogueira,PDT,01/01/19,"590,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
18,Dagoberto Nogueira,PDT,01/01/19,"9338,49",TELEFONIA
19,Dagoberto Nogueira,PDT,01/01/20,"5363,41",COMBUSTÍVEIS E LUBRIFICANTES.
20,Dagoberto Nogueira,PDT,01/01/20,"4000,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
21,Dagoberto Nogueira,PDT,01/01/20,"10400,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
22,Dagoberto Nogueira,PDT,01/01/20,"4218,8",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
23,Dagoberto Nogueira,PDT,01/01/20,"1731,63",PASSAGEM AÉREA - RPA
24,Dagoberto Nogueira,PDT,01/01/20,"-818,12",PASSAGEM AÉREA - SIGEPA
25,Dagoberto Nogueira,PDT,01/01/20,"1770,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
26,Dagoberto Nogueira,PDT,01/01/20,"160,75",SERVIÇOS POSTAIS
27,Dagoberto Nogueira,PDT,01/01/20,"12978,25",TELEFONIA
28,Dagoberto Nogueira,PDT,01/01/21,"309,0",ASSINATURA DE PUBLICAÇÕES
29,Dagoberto Nogueira,PDT,01/01/21,"6599,22",COMBUSTÍVEIS E LUBRIFICANTES.
30,Dagoberto Nogueira,PDT,01/01/21,"10000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
31,Dagoberto Nogueira,PDT,01/01/21,"5000,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
32,Dagoberto Nogueira,PDT,01/01/21,"41800,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
33,Dagoberto Nogueira,PDT,01/01/21,"773,73",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
34,Dagoberto Nogueira,PDT,01/01/21,"-1881,46",PASSAGEM AÉREA - SIGEPA
35,Dagoberto Nogueira,PDT,01/01/21,"1515,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
36,Dagoberto Nogueira,PDT,01/01/21,"885,07",SERVIÇOS POSTAIS
37,Dagoberto Nogueira,PDT,01/01/21,"10051,16",TELEFONIA
38,Dagoberto Nogueira,PDT,01/02/19,"2699,64",COMBUSTÍVEIS E LUBRIFICANTES.
39,Dagoberto Nogueira,PDT,01/02/19,"10000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
40,Dagoberto Nogueira,PDT,01/02/19,"80,5",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
41,Dagoberto Nogueira,PDT,01/02/19,"10800,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
42,Dagoberto Nogueira,PDT,01/02/19,"5323,219999999999",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
43,Dagoberto Nogueira,PDT,01/02/19,"9161,49",PASSAGEM AÉREA - RPA
44,Dagoberto Nogueira,PDT,01/02/19,"295,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
45,Dagoberto Nogueira,PDT,01/02/19,"644,95",TELEFONIA
46,Dagoberto Nogueira,PDT,01/02/20,"309,0",ASSINATURA DE PUBLICAÇÕES
47,Dagoberto Nogueira,PDT,01/02/20,"2754,71",COMBUSTÍVEIS E LUBRIFICANTES.
48,Dagoberto Nogueira,PDT,01/02/20,"20000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
49,Dagoberto Nogueira,PDT,01/02/20,"44,27",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
50,Dagoberto Nogueira,PDT,01/02/20,"10400,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
